OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length,Containment_Duration,Month,Decade,C_METHOD_DESCRIPTION,CAUSE_DESCRIPTION
201,2023,CA,USF,STF,QUARRY,00001921,2023-09-09 00:00:00+00:00,2023-11-08 00:00:00+00:00,14.0,7.0,1.0,8645.426,2020.0,56558852.2226562,73681.7582569979,1440.0,9,2020,Mop-up (Extinguishing Hot Spots),Unknown
202,2023,CA,USF,ANF,DRY,00002149,2023-07-12 00:00:00+00:00,2023-07-21 00:00:00+00:00,14.0,6.0,1.0,16.75898,2020.0,100156.140625,1554.75127540151,216.0,7,2020,Natural Barriers (Using Terrain Features),Unknown
203,2023,CA,USF,SNF,COTTON,00000773,2023-07-11 00:00:00+00:00,2023-07-14 00:00:00+00:00,9.0,6.0,1.0,23.56014,2020.0,149300.57421875,2063.39348645057,72.0,7,2020,Natural Barriers (Using Terrain Features),Miscellaneous
204,2023,CA,USF,SHF,DEEP,00000973,2023-08-15 00:00:00+00:00,2023-10-03 00:00:00+00:00,14.0,7.0,1.0,4198.194,2020.0,29782851.640625,55373.5992942208,1176.0,8,2020,Mop-up (Extinguishing Hot Spots),Unknown
205,2023,CA,NPS,MNP,YORK,00010701,2023-07-28 00:00:00+00:00,2023-08-20 00:00:00+00:00,14.0,7.0,1.0,93077.87,2020.0,566824238.953125,264117.491457845,552.0,7,2020,Mop-up (Extinguishing Hot Spots),Unknown
206,2023,CA,NPS,RWP,LOST,00000959,2023-08-15 00:00:00+00:00,2023-09-11 00:00:00+00:00,1.0,7.0,1.0,739.8182,2020.0,5311222.49609375,17079.0374242712,648.0,8,2020,Mop-up (Extinguishing Hot Spots),Lightning
207,2023,CA,NPS,RWP,BRIDGE RIDGE,00001054,2023-08-25 00:00:00+00:00,2023-10-19 00:00:00+00:00,1.0,8.0,1.0,16.54212,2020.0,118120.8828125,1585.72054754258,1320.0,8,2020,Fire Shelter Deployment (Emergency Only),Lightning
208,2023,CA,NPS,RWP,DEVIL,00000948,2023-08-15 00:00:00+00:00,2023-10-19 00:00:00+00:00,1.0,1.0,1.0,12.40059,2020.0,88464.69140625,1468.33548018449,1560.0,8,2020,Direct Attack (Hand Crews & Tools),Lightning
209,2023,CA,NPS,YNP,PIKA,00000050,2023-06-29 00:00:00+00:00,2023-08-15 00:00:00+00:00,1.0,3.0,2.0,841.0,2020.0,5451324.8984375,16477.8443716639,1128.0,6,2020,Aerial Suppression (Planes & Helicopters),Lightning
210,2023,CA,NPS,KNP,REDWOOD,00000061,2023-08-15 00:00:00+00:00,2023-12-14 00:00:00+00:00,1.0,7.0,2.0,2248.449,2020.0,14117352.7851562,18191.6801292845,2904.0,8,2020,Mop-up (Extinguishing Hot Spots),Lightning
